run_id,label,status,fate,seed,m,s,f,k,p,W,pred,osc,comp,ctrl,ticks,events,flight,front,height,max_width,d_front,d_span,d_s,D_causal,transient,hold,c1_target,c1b_decade,c2_stat,c3_spec,c4_caus
camp-triadic-s_13-6fae23d8f9,camp-triadic-s_13,stalled,gel,vee,32,13,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4852,290,7,3,220,3,,,,0.9963952249952136,,,False,False,False,False,False
camp-triadic-s_14-39cc4d4fef,camp-triadic-s_14,stalled,gel,vee,32,14,3,3,3,16,hamming,rot_birth,fold_rot_xor,,12752,6496,5,2,4602,3,,,,0.9739593953848988,,,False,False,False,False,False
camp-triadic-s_15-395477bafa,camp-triadic-s_15,completed,moribond,vee,32,15,3,3,3,16,hamming,rot_birth,fold_rot_xor,,20000,21979,5,3,12906,3,,,,1.0055237741600873,,,False,False,False,False,False
camp-triadic-s_16-f7f0ce8651,camp-triadic-s_16,completed,soutenu,vee,32,16,3,3,3,16,hamming,rot_birth,fold_rot_xor,,20000,40923,9,3,18943,3,,,,1.0377840516771608,,,False,False,False,False,False
camp-triadic-s_18-7a58a5180b,camp-triadic-s_18,completed,soutenu,vee,32,18,3,3,3,16,hamming,rot_birth,fold_rot_xor,,20000,45767,9,4,19667,3,,0.0,,1.025749937603828,,,False,False,False,False,False
camp-triadic-s_20-c136459b39,camp-triadic-s_20,completed,soutenu,vee,32,20,3,3,3,16,hamming,rot_birth,fold_rot_xor,,20000,42868,9,3,19990,3,,,,1.0518857661170034,,,False,False,False,False,False
camp-triadic-s_24-73c275bf1a,camp-triadic-s_24,completed,soutenu,vee,32,24,3,3,3,16,hamming,rot_birth,fold_rot_xor,,20000,40068,9,3,20001,3,,,,1.0238068878066324,,,False,False,False,False,False
camp-triadic-s_8-47bdb42ba4,camp-triadic-s_8,stalled,gel,vee,32,8,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4097,3,9,3,1,2,,,,,,,False,False,False,False,False
camp-triadic-seed_braid6-313b98e0db,camp-triadic-seed_braid6,stalled,gel,braid6,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,6278,1341,9,5,716,4,,0.0,,1.0596626492867687,,,False,False,False,False,False
camp-triadic-seed_vee-efe3639e5d,camp-triadic-seed_vee,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-seed_wedge4-7988b62b34,camp-triadic-seed_wedge4,stalled,gel,wedge4,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,5286,351,10,7,243,3,,0.0,1.5675354289629728,1.043133590261249,,,False,False,False,False,False
camp-triadic-size-max_ticks_20000-844a37410b,camp-triadic-size-max_ticks_20000,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-size-max_ticks_320000-aebfb80c1c,camp-triadic-size-max_ticks_320000,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-size-max_ticks_5000-a5f2edfc81,camp-triadic-size-max_ticks_5000,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-triadic-size-max_ticks_80000-590a0bf32b,camp-triadic-size-max_ticks_80000,stalled,gel,vee,32,12,3,3,3,16,hamming,rot_birth,fold_rot_xor,,4751,107,9,5,84,2,,0.0,1.9220559022889496e-15,1.0041221496722135,,,False,False,False,False,False
camp-wide_state-W_128-c458c170e0,camp-wide_state-W_128,stalled,gel,vee,64,24,2,2,3,128,hamming,rot_birth,fold_rot_xor,,9914,326,6,3,226,3,,,,0.9961971738157711,,,False,False,False,False,False
camp-wide_state-W_16-5c126f97e2,camp-wide_state-W_16,stalled,gel,vee,64,24,2,2,3,16,hamming,rot_birth,fold_rot_xor,,9914,326,4,2,226,3,,,,0.9961971738157711,,,False,False,False,False,False
camp-wide_state-W_32-266f38c75a,camp-wide_state-W_32,stalled,gel,vee,64,24,2,2,3,32,hamming,rot_birth,fold_rot_xor,,9914,326,4,2,226,3,,,,0.9961971738157711,,,False,False,False,False,False
camp-wide_state-W_4-deb3205736,camp-wide_state-W_4,stalled,gel,vee,64,24,2,2,3,4,hamming,rot_birth,fold_rot_xor,,8452,49,4,2,35,2,,,,1.015626103893087,,,False,False,False,False,False
camp-wide_state-W_64-e4e6149d2b,camp-wide_state-W_64,stalled,gel,vee,64,24,2,2,3,64,hamming,rot_birth,fold_rot_xor,,9914,326,4,2,226,3,,,,0.9961971738157711,,,False,False,False,False,False
camp-wide_state-W_8-8bafc4f120,camp-wide_state-W_8,stalled,gel,vee,64,24,2,2,3,8,hamming,rot_birth,fold_rot_xor,,9527,203,4,2,148,3,,,,0.9268211550650394,,,False,False,False,False,False
camp-wide_state-compose_rule_fold_mul_add-5a343677ac,camp-wide_state-compose_rule_fold_mul_add,stalled,gel,vee,64,24,2,2,3,16,hamming,rot_birth,fold_mul_add,,8721,153,5,4,109,3,,0.0,,1.0094315451008216,,,False,False,False,False,False
camp-wide_state-compose_rule_fold_rot_xor-5c126f97e2,camp-wide_state-compose_rule_fold_rot_xor,stalled,gel,vee,64,24,2,2,3,16,hamming,rot_birth,fold_rot_xor,,9914,326,4,2,226,3,,,,0.9961971738157711,,,False,False,False,False,False
